1440,2080,1140,1670y
1440,1580,1490,1370y
1440,1430,1920,1370y
1510,1430,1920,1370y
1510,1620,1910,1370y
1510,1630,1910,1650y
1510,1800,1510,1650y
1510,2380,1160,1650y
580,2380,1160,1650y
580,1880,1160,1650y
580,1830,1160,1330y
580,1890,1090,1330y
760,2230,1090,1330y
1430,2230,1090,1700y
580,2230,1090,1350y
580,1850,1090,1350y
580,1730,1220,1350y
600,1720,1260,1350y
600,1720,1260,1860y
810,2320,1260,1860y
1420,2320,1260,1860y
1420,1960,1490,1860y
1510,1640,1780,1860y
1510,1640,1870,1340y
1510,1640,1490,1340y
